-1.118645335656887037e+05,-6.975406822288982767e+02,-7.445048441758630361e+03,-1.118651011593906733e+05,-7.770204627700642050e+03,-1.550395732833035581e+05
-1.029219626993966813e+05,-3.350312316953227310e+02,-5.870465285208182650e+03,-1.026561811922654742e+05,-6.356900056655854314e+03,-1.502804629054765101e+05
-1.108393135021383787e+05,-5.900849388410897518e+02,-7.321822182884881840e+03,-1.107699994873972610e+05,-5.051752918419040725e+03,-1.514703110541177739e+05
-1.017318709032641054e+05,-1.989568081540334106e+02,-5.763967153166908247e+03,-1.015071670634344046e+05,-3.698584429769475719e+03,-1.466856184402764775e+05
-1.107246814644891419e+05,-6.369823344335356978e+02,-4.847697747315533888e+03,-1.106762017902888183e+05,-7.528172660709873526e+03,-1.509331469224414031e+05
-1.017609364046160626e+05,-2.095283652016693168e+02,-3.308667204729212244e+03,-1.014031220511270949e+05,-6.151454516562529534e+03,-1.462085648390986607e+05
-1.097320946800612146e+05,-5.390153054301290467e+02,-4.639773557429227367e+03,-1.096061571122181922e+05,-4.785244935709587480e+03,-1.473986673700525716e+05
-1.006173578557981818e+05,-8.186820919434128996e+01,-3.133159763024582389e+03,-1.002884934453792957e+05,-3.451445369801609559e+03,-1.426611042552110739e+05
-1.112233629454017064e+05,-7.014844128482632186e+02,-3.771451404420748986e+03,-1.104654887821525772e+05,-7.448696432369635659e+03,-1.496302029035281448e+05
-1.047341291983482515e+05,-4.832407915204646542e+02,-3.558312782649002656e+03,-1.018484197461652075e+05,-6.068164451583098526e+03,-1.457770599117111706e+05
-1.102758953553378960e+05,-5.968573615457934238e+02,-3.533789650721920225e+03,-1.094164378323315905e+05,-4.677571528941038196e+03,-1.461580895444641355e+05
-1.036892225095522590e+05,-3.342783307356164642e+02,-3.351861930232552822e+03,-1.007791061407012749e+05,-3.338630360678758734e+03,-1.422962925713091972e+05
-1.111286867918519856e+05,-6.699760799247170553e+02,-2.125760924662889011e+03,-1.103164756992284092e+05,-7.480117804009848442e+03,-1.493609825409061159e+05
