1.264465257633020133e+08,-6.370767227674688911e+05,3.461567723342185467e+07,-5.232179173511979170e+05,-4.409310944560687058e+05,3.008796262380124256e+07,4.324160615249866992e+07,-3.441002588845411665e+05,9.841722288625410292e+05,7.860416374451168813e+05,-5.297433062781149056e+05,1.216475874127445817e+08,3.199585523893710924e+05,4.573805233105643353e+00,3.060068983034133539e+07,4.776273049290238321e+07,-6.634853738414008694e+04,1.839429351031052181e+06,4.711352535797978938e+07,2.216218227397421142e+05,1.321443243667692989e+08
1.212648005054686815e+08,-9.450250502048525959e+05,3.283162403249641135e+07,-3.838959459107301082e+05,-5.128817782577803009e+05,2.997312506169358268e+07,4.133203144687516987e+07,-6.263979079753453843e+05,9.664539083837603685e+05,7.549343052644249983e+05,-4.625277654024582589e+05,1.167296632126235515e+08,4.576037773480825708e+05,2.631556187981895637e+05,3.029613006277880818e+07,4.693380818398369849e+07,-3.577455407392434427e+05,1.562233648170802975e+06,4.649782293419992924e+07,-7.089210210154377273e+04,1.313075560778273195e+08
1.264979226166332513e+08,-6.432913029670997057e+05,3.461914594270574301e+07,-1.300875955468351603e+05,-4.708119742227384122e+05,3.002580580660865456e+07,4.314472100158180296e+07,-2.591020079731129808e+05,1.010927114950795774e+06,5.809967000296976184e+05,-4.484643425978433806e+05,1.218736693733545691e+08,3.804267222566100536e+05,-1.783608225300985796e+05,3.054990207154481485e+07,4.763609421437216550e+07,-1.914564807895973208e+05,1.223202261937953765e+06,4.725226130165933073e+07,2.380358355549712433e+05,1.324150023831638843e+08
1.212865152155520469e+08,-9.568088813231434906e+05,3.283996370381148160e+07,-8.272940569075132953e+04,-3.559995565289824735e+05,2.992219643847445399e+07,4.140682406707975268e+07,-6.375255437328971457e+05,9.371794880420895061e+05,5.150792853993115714e+05,-3.772185402729429188e+05,1.174800372309931070e+08,3.408051812418188201e+05,2.135436051907529181e+05,3.037552338818847761e+07,4.693358034992440790e+07,-4.500430784515523701e+05,1.028048249382468057e+06,4.652086051160595566e+07,5.848429128436374594e+04,1.312724984677216113e+08
1.269351793963029832e+08,-7.631428242981198709e+05,3.467432839065497369e+07,-6.465648255617099348e+05,-6.798666610945698339e+05,3.015473096194620430e+07,4.315418458621681482e+07,-5.945593040948025882e+05,6.741609806753685698e+05,8.004356593196091708e+05,-4.923469764481848106e+05,1.212864832688515335e+08,2.704023811376304366e+05,2.879009198372970568e+05,3.049136406030041352e+07,4.782928448252563924e+07,-1.984743570277980471e+05,1.978016793494368438e+06,4.717440002732878178e+07,-5.194020616947571980e+05,1.323034323553877771e+08
1.214492530505439639e+08,-8.034055984830473317e+05,3.292938207088127360e+07,-4.419732830831427709e+05,-5.977520297974821879e+05,2.991659973826075345e+07,4.142885770960231870e+07,-6.465878943587813992e+05,6.967160883287608158e+05,7.617789120710325660e+05,-4.250193003552294103e+05,1.170078496256899238e+08,4.503850963972347672e+05,5.488391331598490942e+05,3.023648588018375635e+07,4.690164476087816060e+07,-4.049789437431248371e+05,1.718599692720142659e+06,4.644166499962888658e+07,-5.367754293891207781e+05,1.312406250476829708e+08
1.269494018575079590e+08,-7.607857930695937248e+05,3.475045827300947905e+07,-1.649271282000236097e+05,-6.140840568017936312e+05,3.001749924070941657e+07,4.313334607387228310e+07,-5.299310607978604967e+05,7.203586706933496753e+05,5.781421686515462352e+05,-4.667674709247217397e+05,1.217885524124886394e+08,2.996123840292216628e+05,2.095758750517343869e+05,3.041303795062829554e+07,4.777507251529559493e+07,-2.958781125146555714e+05,1.320818380029412685e+06,4.716452894302450120e+07,-3.921337023098084610e+05,1.327927484680766761e+08
1.212459470057162195e+08,-7.508165576531224651e+05,3.292132468521351740e+07,-1.088969668009484740e+05,-6.258718227933091111e+05,2.985367356125545129e+07,4.146022397109169513e+07,-6.049120369153983193e+05,5.621993401215900667e+05,4.873049110959641985e+05,-3.480652187570669921e+05,1.177652972210281193e+08,1.760177108377209224e+05,5.202076549558062688e+05,3.026009193544479087e+07,4.691981346248033643e+07,-4.532686591811439721e+05,1.084582286273117177e+06,4.638376123569209129e+07,-5.697438951281326590e+05,1.313013546109804660e+08
1.272743380114244968e+08,-7.289224933431769023e+05,3.473523233580562472e+07,-7.368773116969998227e+05,-7.165922061518145492e+05,3.024675942969510704e+07,4.315218223425022513e+07,-5.522500202348147286e+05,4.947587980066406308e+05,7.602890107123871567e+05,-4.453851216986651998e+05,1.210213353428872228e+08,2.595895024549487571e+05,4.126095418270414229e+05,3.048278281480951607e+07,4.788799595003020763e+07,-2.652288743184325867e+05,2.072466542399755912e+06,4.729473240219828486e+07,-9.165724218198813032e+05,1.323765903028055280e+08
1.219534186270499527e+08,-7.945721076439581811e+05,3.304171073089312017e+07,-4.328201272871944821e+05,-5.974488912858527619e+05,3.005359983122605830e+07,4.159610203238441050e+07,-6.399094178913867800e+05,6.061669764297327492e+05,7.388433610296887346e+05,-4.100871188812020118e+05,1.172040392621817291e+08,4.501396333665667335e+05,5.957800139560655225e+05,3.014204631567027047e+07,4.700982105270592123e+07,-3.939662725933539914e+05,1.828212253936888650e+06,4.642090926874519140e+07,-7.192619068724496756e+05,1.315608340633207411e+08
1.271535568091926128e+08,-7.723586410104997922e+05,3.490864538756950200e+07,-2.464335849984271044e+05,-6.646111998441983014e+05,3.008562519689797983e+07,4.309624635390082002e+07,-5.150389512473103823e+05,5.043680175012221443e+05,5.052706525620002067e+05,-4.152916751894984045e+05,1.216726509775337130e+08,2.158106442451921466e+05,3.853069568790482590e+05,3.032845796378047392e+07,4.781843719252140820e+07,-3.290973553831029567e+05,1.357791970649513183e+06,4.733995407646462321e+07,-8.261315065490900306e+05,1.329537888805562556e+08
1.218067680852908045e+08,-7.552802677809455199e+05,3.330279215914811194e+07,-1.236171142374214687e+05,-5.646108716432661749e+05,3.001379437554155290e+07,4.171022868366090208e+07,-5.157480053347514477e+05,5.877441150713639800e+05,3.727913829516361002e+05,-3.655817125820463407e+05,1.179826379001165777e+08,1.581571705691045208e+05,5.858872695483519929e+05,3.001468329639695212e+07,4.701131696500508487e+07,-4.244718173603420146e+05,1.065153747139323968e+06,4.645680701044823229e+07,-6.581812589010070078e+05,1.315091581052468717e+08
1.267587023315931559e+08,-8.038735043232230237e+05,3.471884292929582298e+07,-7.652353908928685123e+05,-6.276509913479699753e+05,3.021111230045530200e+07,4.311337832257429510e+07,-5.556929603148160968e+05,3.824990348042704281e+05,7.323198981316516874e+05,-4.007360958213207778e+05,1.207446715711491257e+08,3.289096949073200230e+05,7.026005253228045767e+05,3.051107685345915332e+07,4.787186821863143146e+07,-4.332452383560916060e+05,2.069295682477797382e+06,4.726679930814573914e+07,-1.382538161629389506e+06,1.324280782220438421e+08
1.220272699568512738e+08,-5.132526278099617921e+05,3.308025824729815498e+07,-4.472180051639399608e+05,-8.899483983117338503e+05,3.002982957314106822e+07,4.167737565484374017e+07,-4.877683095091214054e+05,3.392234085506268311e+05,6.903410794979031198e+05,-2.847529450009856955e+05,1.174869217817202955e+08,3.970201822369404254e+05,7.477823090609494830e+05,3.011971715678675473e+07,4.701703105773846805e+07,-3.870961420883186511e+05,1.813907273583239876e+06,4.635101992510945350e+07,-1.313822796226724051e+06,1.315678198154891282e+08
1.270931166273872107e+08,-8.397022044027806260e+05,3.501623895853217691e+07,-2.725691458495187690e+05,-7.451578612798975082e+05,3.005005582607819885e+07,4.311025543142997473e+07,-4.763507374330381281e+05,2.797345620577237569e+05,4.958025984922606731e+05,-4.077323431290822336e+05,1.216800941193124801e+08,1.286010868392597476e+05,7.041299846341056982e+05,3.031046174215764552e+07,4.786229460060306638e+07,-4.355473722590915859e+05,1.391253649475381710e+06,4.732813812749934942e+07,-1.483866365495512960e+06,1.327923640736365020e+08
1.222370593084710091e+08,-5.268904846062286524e+05,3.338405270786103606e+07,-2.040981817023430194e+05,-8.055941430464467267e+05,3.012243827365174890e+07,4.177291120297280699e+07,-4.135155703716705320e+05,4.076053510194355622e+05,3.760096483184979297e+05,-3.272998637478073942e+05,1.179293337086178064e+08,2.307027744155326800e+05,8.761824846436331281e+05,3.001763985181472450e+07,4.712571721364182234e+07,-3.935479177685097093e+05,1.149175470865950221e+06,4.654708038346960396e+07,-1.201713735812643077e+06,1.317397175938735455e+08
1.259317316728651673e+08,-5.672503582730082562e+05,3.460689876831598580e+07,-6.923004280347872991e+05,-8.873724103596023051e+05,3.006390044039229304e+07,4.302152157888607681e+07,-4.359487612913105986e+05,2.215109069088763499e+05,7.322483066820834065e+05,-2.841176910504759289e+05,1.205240327874320894e+08,4.171490609766973066e+05,8.717646725622433005e+05,3.065177838634752482e+07,4.782888097640822828e+07,-4.059150919322560658e+05,2.014188846760806395e+06,4.718176589023414254e+07,-1.786688346869206754e+06,1.323602910971061289e+08
