# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
-111538.46154,73076.92308,-161538.46154,  -0.00026,   0.00022,  -0.00084,322824.99335,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55105202.17196,   0.00000
-223076.92308,146153.84615,-325000.00000,  -0.00052,   0.00044,  -0.00169,648538.98160,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54779488.18371,   0.00000
-334615.38462,219230.76923,-488461.53846,  -0.00078,   0.00066,  -0.00254,974254.38035,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54453772.78495,   0.00000
-449038.46154,285576.92308,-651923.07692,  -0.00104,   0.00087,  -0.00339,1298628.44409,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54129398.72122,   0.00000
-556730.76923,354807.69231,-817307.69231,  -0.00129,   0.00108,  -0.00425,1623990.64009,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53804036.52521,   0.00000
-671153.84615,421153.84615,-982692.30769,  -0.00155,   0.00129,  -0.00511,1951289.21121,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53476737.95409,   0.00000
-778846.15385,490384.61538,-1148076.92308,  -0.00180,   0.00150,  -0.00597,2276676.18204,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53151350.98327,   0.00000
-893269.23077,556730.76923,-1315384.61538,  -0.00206,   0.00171,  -0.00684,2606894.62641,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52821132.53890,   0.00000
-1003846.15385,619230.76923,-1480769.23077,  -0.00231,   0.00191,  -0.00770,2931006.45113,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52497020.71418,   0.00000
-1121153.84615,678846.15385,-1650000.00000,  -0.00257,   0.00211,  -0.00858,3262883.54430,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52165143.62101,   0.00000
-1231730.76923,741346.15385,-1817307.69231,  -0.00282,   0.00231,  -0.00945,3589946.43715,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-51838080.72816,   0.00000
-1342307.69231,803846.15385,-1986538.46154,  -0.00307,   0.00251,  -0.01033,3919945.48854,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-51508081.67676,   0.00000
-1455769.23077,859615.38462,-2155769.23077,  -0.00332,   0.00270,  -0.01121,4248720.65673,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-51179306.50857,   0.00000
-1569230.76923,915384.61538,-2325000.00000,  -0.00357,   0.00289,  -0.01209,4577525.41285,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50850501.75245,   0.00000
-1682692.30769,971153.84615,-2494230.76923,  -0.00382,   0.00308,  -0.01297,4906353.80831,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50521673.35700,   0.00000
-1796153.84615,1026923.07692,-2665384.61538,  -0.00407,   0.00327,  -0.01386,5238136.77972,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50189890.38558,   0.00000
-1912500.00000,1075961.53846,-2836538.46154,  -0.00432,   0.00345,  -0.01475,5568750.06226,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49859277.10305,   0.00000
-2025961.53846,1131730.76923,-3007692.30769,  -0.00457,   0.00364,  -0.01564,5900577.66265,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49527449.50266,   0.00000
-2135576.92308,1183653.84615,-3180769.23077,  -0.00481,   0.00382,  -0.01654,6232285.91761,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49195741.24769,   0.00000
-2254807.69231,1225961.53846,-3351923.07692,  -0.00506,   0.00399,  -0.01743,6561829.91789,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48866197.24742,   0.00000
-2374038.46154,1268269.23077,-3525000.00000,  -0.00531,   0.00416,  -0.01833,6894371.64592,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48533655.51939,   0.00000
-2483653.84615,1320192.30769,-3700000.00000,  -0.00555,   0.00434,  -0.01924,7229131.68088,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48198895.48443,   0.00000
-2605769.23077,1355769.23077,-3873076.92308,  -0.00580,   0.00450,  -0.02014,7560630.91236,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47867396.25295,   0.00000
-2718269.23077,1400961.53846,-4048076.92308,  -0.00604,   0.00467,  -0.02105,7894343.02600,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47533684.13931,   0.00000
-2833653.84615,1439423.07692,-4221153.84615,  -0.00628,   0.00483,  -0.02195,8224036.66280,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47203990.50251,   0.00000
-2955769.23077,1475000.00000,-4398076.92308,  -0.00653,   0.00499,  -0.02287,8561611.89408,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46866415.27123,   0.00000
-3071153.84615,1513461.53846,-4573076.92308,  -0.00677,   0.00515,  -0.02378,8894364.65596,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46533662.50935,   0.00000
-3189423.07692,1545192.30769,-4748076.92308,  -0.00701,   0.00530,  -0.02469,9226105.04157,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46201922.12373,   0.00000
-3314423.07692,1574038.46154,-4925000.00000,  -0.00726,   0.00545,  -0.02561,9562787.34534,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45865239.81997,   0.00000
-3432692.30769,1605769.23077,-5101923.07692,  -0.00750,   0.00560,  -0.02653,9897617.90719,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45530409.25812,   0.00000
-3550961.53846,1637500.00000,-5278846.15385,  -0.00774,   0.00575,  -0.02745,10232501.34448,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45195525.82083,   0.00000
-3672115.38462,1662500.00000,-5455769.23077,  -0.00798,   0.00589,  -0.02837,10566431.90358,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44861595.26172,   0.00000
-3793269.23077,1687500.00000,-5634615.38462,  -0.00822,   0.00603,  -0.02930,10903410.52752,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44524616.63778,   0.00000
-3917307.69231,1705769.23077,-5811538.46154,  -0.00846,   0.00616,  -0.03022,11236498.96648,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44191528.19883,   0.00000
-4041346.15385,1724038.46154,-5990384.61538,  -0.00870,   0.00629,  -0.03115,11572655.14385,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-43855372.02146,   0.00000
-4165384.61538,1742307.69231,-6169230.76923,  -0.00894,   0.00642,  -0.03208,11908890.44360,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-43519136.72171,   0.00000
-4289423.07692,1760576.92308,-6348076.92308,  -0.00918,   0.00655,  -0.03301,12245198.34798,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-43182828.81733,   0.00000
-4416346.15385,1772115.38462,-6526923.07692,  -0.00942,   0.00667,  -0.03394,12580658.00371,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42847369.16160,   0.00000
-4543269.23077,1783653.84615,-6707692.30769,  -0.00966,   0.00679,  -0.03488,12919200.60483,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42508826.56048,   0.00000
-4670192.30769,1795192.30769,-6886538.46154,  -0.00990,   0.00691,  -0.03581,13254830.85012,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42173196.31518,   0.00000
-4800000.00000,1800000.00000,-7067307.69231,  -0.01014,   0.00702,  -0.03675,13592663.97927,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41835363.18604,   0.00000
-4929807.69231,1804807.69231,-7248076.92308,  -0.01038,   0.00713,  -0.03769,13930597.50271,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41497429.66259,   0.00000
-5059615.38462,1809615.38462,-7428846.15385,  -0.01062,   0.00724,  -0.03863,14268624.28734,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41159402.87797,   0.00000
-5185576.92308,1810576.92308,-7609615.38462,  -0.01085,   0.00734,  -0.03957,14603972.80313,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-40824054.36217,   0.00000
-5315384.61538,1815384.61538,-7790384.61538,  -0.01109,   0.00745,  -0.04051,14942177.87786,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-40485849.28744,   0.00000
