# sigma_xx, sigma_yy, sigma_zz, sigma_xy, sigma_yz, sigma_xz, epsilon_xx, epsilon_yy, epsilon_zz, epsilon_xy, epsilon_yz, epsilon_xz, vonMises, epsPlastic, hardening, epsilonP_xx, epsilonP_yy, epsilonP_zz, epsilonP_xy, epsilonP_yz, epsilonP_xz, yieldValue, iteration
-4818016.04716,-4294513.03815,-2733758.72559,299144.57657,   0.00000,   0.00000,  -0.00542,  -0.00406,   0.00000,   0.00156,   0.00000,   0.00000,1948212.36949,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-53479814.79582,   0.00000
-5343144.84190,-4761113.54618,-3031277.51642,331660.29142,   0.00000,   0.00000,  -0.00601,  -0.00450,   0.00000,   0.00172,   0.00000,   0.00000,2160534.07090,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-53267493.09440,   0.00000
-5862583.38655,-5225275.37559,-3326357.62864,364176.00626,   0.00000,   0.00000,  -0.00659,  -0.00494,   0.00000,   0.00189,   0.00000,   0.00000,2370678.82544,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-53057348.33986,   0.00000
-6382021.93120,-5689437.20500,-3621437.74086,396691.72111,   0.00000,   0.00000,  -0.00718,  -0.00538,   0.00000,   0.00206,   0.00000,   0.00000,2580824.13079,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-52847203.03451,   0.00000
-6895770.22575,-6151160.35580,-3914079.17447,429207.43595,   0.00000,   0.00000,  -0.00775,  -0.00582,   0.00000,   0.00223,   0.00000,   0.00000,2788796.49079,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-52639230.67452,   0.00000
-7407079.84169,-6607193.25650,-4204281.92946,461723.15080,   0.00000,   0.00000,  -0.00833,  -0.00625,   0.00000,   0.00240,   0.00000,   0.00000,2995900.98879,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-52432126.17651,   0.00000
-7918389.45762,-7063226.15720,-4494484.68445,494238.86564,   0.00000,   0.00000,  -0.00890,  -0.00668,   0.00000,   0.00257,   0.00000,   0.00000,3203005.87401,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-52225021.29130,   0.00000
-8424008.82346,-7516820.37929,-4782248.76083,526754.58049,   0.00000,   0.00000,  -0.00947,  -0.00711,   0.00000,   0.00274,   0.00000,   0.00000,3407940.10305,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-52020087.06225,   0.00000
-8927189.51069,-7964724.35128,-5067574.15859,559270.29533,   0.00000,   0.00000,  -0.01003,  -0.00753,   0.00000,   0.00291,   0.00000,   0.00000,3612004.19904,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-51816022.96627,   0.00000
-9432808.87653,-8418318.57337,-5355338.23497,590160.22444,   0.00000,   0.00000,  -0.01060,  -0.00796,   0.00000,   0.00307,   0.00000,   0.00000,3816185.30109,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-51611841.86422,   0.00000
-9930299.31366,-8863783.86674,-5638224.95412,622675.93928,   0.00000,   0.00000,  -0.01116,  -0.00839,   0.00000,   0.00324,   0.00000,   0.00000,4018080.37235,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-51409946.79296,   0.00000
-10427789.75079,-9309249.16012,-5921111.67327,655191.65413,   0.00000,   0.00000,  -0.01172,  -0.00881,   0.00000,   0.00341,   0.00000,   0.00000,4219977.04964,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-51208050.11567,   0.00000
-10922841.50930,-9749024.20340,-6201559.71381,686081.58323,   0.00000,   0.00000,  -0.01228,  -0.00922,   0.00000,   0.00357,   0.00000,   0.00000,4420243.25111,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-51007783.91419,   0.00000
-11412203.01772,-10186360.56806,-6479569.07573,718597.29807,   0.00000,   0.00000,  -0.01282,  -0.00964,   0.00000,   0.00374,   0.00000,   0.00000,4619099.63875,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-50808927.52656,   0.00000
-11901564.52614,-10623696.93273,-6757578.43766,751113.01292,   0.00000,   0.00000,  -0.01337,  -0.01005,   0.00000,   0.00391,   0.00000,   0.00000,4817957.82628,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-50610069.33902,   0.00000
-12385235.78445,-11058594.61878,-7033149.12097,783628.72776,   0.00000,   0.00000,  -0.01392,  -0.01047,   0.00000,   0.00407,   0.00000,   0.00000,5014651.72218,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-50413375.44312,   0.00000
-12868907.04277,-11493492.30483,-7308719.80428,814518.65687,   0.00000,   0.00000,  -0.01446,  -0.01088,   0.00000,   0.00424,   0.00000,   0.00000,5210585.98260,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-50217441.18271,   0.00000
-13350139.62248,-11922699.74078,-7581851.80898,847034.37171,   0.00000,   0.00000,  -0.01500,  -0.01129,   0.00000,   0.00440,   0.00000,   0.00000,5406407.91300,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-50021619.25231,   0.00000
-13825681.95209,-12349468.49813,-7852545.13506,879550.08656,   0.00000,   0.00000,  -0.01553,  -0.01169,   0.00000,   0.00457,   0.00000,   0.00000,5600068.72540,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-49827958.43991,   0.00000
-14298785.60308,-12770547.00537,-8120799.78253,910440.01566,   0.00000,   0.00000,  -0.01606,  -0.01209,   0.00000,   0.00473,   0.00000,   0.00000,5792088.45665,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-49635938.70865,   0.00000
-14774327.93269,-13197315.76271,-8391493.10862,942955.73050,   0.00000,   0.00000,  -0.01660,  -0.01250,   0.00000,   0.00490,   0.00000,   0.00000,5985752.76036,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-49442274.40494,   0.00000
-15241741.33359,-13615955.59134,-8657309.07748,975471.44535,   0.00000,   0.00000,  -0.01712,  -0.01289,   0.00000,   0.00507,   0.00000,   0.00000,6176381.21834,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-49251645.94696,   0.00000
-15706716.05587,-14028905.16987,-8920686.36772,1007987.16019,   0.00000,   0.00000,  -0.01764,  -0.01328,   0.00000,   0.00524,   0.00000,   0.00000,6366136.04626,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-49061891.11905,   0.00000
-16168439.20667,-14445106.31988,-9184063.65797,1038877.08930,   0.00000,   0.00000,  -0.01816,  -0.01368,   0.00000,   0.00540,   0.00000,   0.00000,6553836.34120,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-48874190.82410,   0.00000
-16633413.92895,-14858055.89842,-9447440.94821,1071392.80414,   0.00000,   0.00000,  -0.01868,  -0.01407,   0.00000,   0.00557,   0.00000,   0.00000,6743595.22809,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-48684431.93722,   0.00000
-17087008.15104,-15266128.11972,-9705940.88123,1103908.51899,   0.00000,   0.00000,  -0.01919,  -0.01446,   0.00000,   0.00574,   0.00000,   0.00000,6929037.60874,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-48498989.55656,   0.00000
-17546292.62322,-15676639.01964,-9966879.49286,1136424.23383,   0.00000,   0.00000,  -0.01971,  -0.01485,   0.00000,   0.00591,   0.00000,   0.00000,7116643.24268,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-48311383.92262,   0.00000
