# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
-1273076.92308,-842307.69231,-140384.61538,  -0.00166,  -0.00054,  -0.00073,1147609.74904,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54280417.41626,   0.00000
-2536538.46154,-1675000.00000,-278846.15385,  -0.00331,  -0.00107,  -0.00145,2285654.38689,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53142372.77841,   0.00000
-3802884.61538,-2514423.07692,-417307.69231,  -0.00496,  -0.00161,  -0.00217,3427044.07647,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52000983.08884,   0.00000
-5069230.76923,-3353846.15385,-555769.23077,  -0.00661,  -0.00215,  -0.00289,4568435.48829,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50859591.67702,   0.00000
-6331730.76923,-4197115.38462,-694230.76923,  -0.00825,  -0.00270,  -0.00361,5707666.47115,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49720360.69416,   0.00000
-7591346.15385,-5033653.84615,-832692.30769,  -0.00989,  -0.00324,  -0.00433,6843546.45951,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48584480.70579,   0.00000
-8853846.15385,-5876923.07692,-969230.76923,  -0.01153,  -0.00379,  -0.00504,7982084.22901,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47445942.93629,   0.00000
-10109615.38462,-6717307.69231,-1105769.23077,  -0.01316,  -0.00434,  -0.00575,9115115.21835,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46312911.94696,   0.00000
-11368269.23077,-7564423.07692,-1242307.69231,  -0.01479,  -0.00490,  -0.00646,10251518.36964,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45176508.79566,   0.00000
-12617307.69231,-8401923.07692,-1376923.07692,  -0.01641,  -0.00545,  -0.00716,11378350.82969,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44049676.33561,   0.00000
-13869230.76923,-9246153.84615,-1511538.46154,  -0.01803,  -0.00601,  -0.00786,12508562.15634,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42919465.00897,   0.00000
-15121153.84615,-10090384.61538,-1648076.92308,  -0.01965,  -0.00657,  -0.00857,13639478.35595,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41788548.80935,   0.00000
-16366346.15385,-10931730.76923,-1780769.23077,  -0.02126,  -0.00713,  -0.00926,14763500.64749,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-40664526.51782,   0.00000
-17611538.46154,-11773076.92308,-1915384.61538,  -0.02287,  -0.00769,  -0.00996,15888225.98190,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-39539801.18340,   0.00000
-18850000.00000,-12611538.46154,-2048076.92308,  -0.02447,  -0.00825,  -0.01065,17006756.29317,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-38421270.87213,   0.00000
-20091346.15385,-13456730.76923,-2180769.23077,  -0.02607,  -0.00882,  -0.01134,18128685.02123,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-37299342.14407,   0.00000
-21325961.53846,-14299038.46154,-2313461.53846,  -0.02766,  -0.00939,  -0.01203,19245121.59137,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-36182905.57394,   0.00000
-22560576.92308,-15141346.15385,-2446153.84615,  -0.02925,  -0.00996,  -0.01272,20361569.08853,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-35066458.07677,   0.00000
-23795192.30769,-15983653.84615,-2576923.07692,  -0.03084,  -0.01053,  -0.01340,21477333.34979,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-33950693.81551,   0.00000
-25025961.53846,-16829807.69231,-2707692.30769,  -0.03242,  -0.01111,  -0.01408,22591012.61070,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-32837014.55461,   0.00000
-26253846.15385,-17669230.76923,-2838461.53846,  -0.03400,  -0.01168,  -0.01476,23701296.99594,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-31726730.16936,   0.00000
-27477884.61538,-18512500.00000,-2969230.76923,  -0.03557,  -0.01226,  -0.01544,24809503.30674,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-30618523.85857,   0.00000
-28701923.07692,-19355769.23077,-3098076.92308,  -0.03714,  -0.01284,  -0.01611,25917033.64847,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-29510993.51683,   0.00000
-29919230.76923,-20196153.84615,-3228846.15385,  -0.03870,  -0.01342,  -0.01679,27019769.70445,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-28408257.46085,   0.00000
-31136538.46154,-21036538.46154,-3355769.23077,  -0.04026,  -0.01400,  -0.01745,28121140.62935,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-27306886.53595,   0.00000
-32356730.76923,-21883653.84615,-3484615.38462,  -0.04182,  -0.01459,  -0.01812,29226639.71653,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-26201387.44878,   0.00000
-33567307.69231,-22721153.84615,-3613461.53846,  -0.04337,  -0.01517,  -0.01879,30323230.83714,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-25104796.32817,   0.00000
-34774038.46154,-23562500.00000,-3740384.61538,  -0.04491,  -0.01576,  -0.01945,31417086.22927,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-24010940.93603,   0.00000
-35980769.23077,-24403846.15385,-3867307.69231,  -0.04645,  -0.01635,  -0.02011,32510959.86117,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-22917067.30413,   0.00000
-37180769.23077,-25242307.69231,-3994230.76923,  -0.04798,  -0.01694,  -0.02077,33599358.91321,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-21828668.25210,   0.00000
-38380769.23077,-26080769.23077,-4119230.76923,  -0.04951,  -0.01753,  -0.02142,34687089.40799,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-20740937.75732,   0.00000
-39580769.23077,-26919230.76923,-4244230.76923,  -0.05104,  -0.01812,  -0.02207,35774836.15095,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-19653191.01436,   0.00000
-40776923.07692,-27761538.46154,-4369230.76923,  -0.05256,  -0.01872,  -0.02272,36860560.05508,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-18567467.11023,   0.00000
-41963461.53846,-28594230.76923,-4494230.76923,  -0.05407,  -0.01931,  -0.02337,37937363.70768,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-17490663.45763,   0.00000
-43152884.61538,-29433653.84615,-4619230.76923,  -0.05558,  -0.01991,  -0.02402,39017640.11098,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-16410387.05433,   0.00000
-44335576.92308,-30270192.30769,-4742307.69231,  -0.05708,  -0.02051,  -0.02466,40091768.86417,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-15336258.30113,   0.00000
-45518269.23077,-31106730.76923,-4865384.61538,  -0.05858,  -0.02111,  -0.02530,41165919.02579,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-14262108.13951,   0.00000
-46700961.53846,-31943269.23077,-4988461.53846,  -0.06008,  -0.02171,  -0.02594,42240088.96261,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-13187938.20269,   0.00000
-47870192.30769,-32774038.46154,-5109615.38462,  -0.06156,  -0.02231,  -0.02657,43302631.47820,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-12125395.68711,   0.00000
-49046153.84615,-33607692.30769,-5232692.30769,  -0.06305,  -0.02291,  -0.02721,44371357.29694,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-11056669.86837,   0.00000
-50211538.46154,-34442307.69231,-5353846.15385,  -0.06452,  -0.02352,  -0.02784,45431937.03076,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-9996090.13455,   0.00000
-51380769.23077,-35273076.92308,-5475000.00000,  -0.06600,  -0.02412,  -0.02847,46494542.17350,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-8933484.99181,   0.00000
-52539423.07692,-36104807.69231,-5594230.76923,  -0.06746,  -0.02473,  -0.02909,47549012.63954,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-7879014.52576,   0.00000
-53698076.92308,-36936538.46154,-5715384.61538,  -0.06892,  -0.02534,  -0.02972,48604188.28746,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-6823838.87785,   0.00000
