# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-55428027.16531,   0.00000
718269.23077,752884.61538,126923.07692,   0.00072,   0.00081,   0.00066,768310.14621,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-54659717.01910,   0.00000
1429807.69231,1502884.61538,251923.07692,   0.00143,   0.00162,   0.00131,1531199.50708,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53896827.65823,   0.00000
2141346.15385,2252884.61538,376923.07692,   0.00214,   0.00243,   0.00196,2294092.33737,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-53133934.82794,   0.00000
2856730.76923,2999038.46154,501923.07692,   0.00286,   0.00323,   0.00261,3056710.20149,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-52371316.96381,   0.00000
3562500.00000,3735576.92308,626923.07692,   0.00357,   0.00402,   0.00326,3810124.15059,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-51617903.01472,   0.00000
4277884.61538,4481730.76923,751923.07692,   0.00429,   0.00482,   0.00391,4572750.29968,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50855276.86562,   0.00000
4983653.84615,5218269.23077,876923.07692,   0.00500,   0.00561,   0.00456,5326168.80594,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-50101858.35936,   0.00000
5689423.07692,5954807.69231,1000000.00000,   0.00571,   0.00640,   0.00520,6078638.77010,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-49349388.39521,   0.00000
6399038.46154,6687500.00000,1123076.92308,   0.00643,   0.00718,   0.00584,6830862.69048,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-48597164.47483,   0.00000
7101923.07692,7417307.69231,1246153.84615,   0.00714,   0.00796,   0.00648,7578608.99830,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47849418.16701,   0.00000
7811538.46154,8150000.00000,1369230.76923,   0.00786,   0.00874,   0.00712,8330844.69744,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-47097182.46787,   0.00000
8511538.46154,8873076.92308,1492307.69231,   0.00857,   0.00951,   0.00776,9073874.16199,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-46354153.00331,   0.00000
9214423.07692,9602884.61538,1613461.53846,   0.00928,   0.01029,   0.00839,9820678.10185,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-45607349.06345,   0.00000
9918269.23077,10322115.38462,1734615.38462,   0.01000,   0.01105,   0.00902,10562541.49006,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44865485.67524,   0.00000
10618269.23077,11045192.30769,1857692.30769,   0.01071,   0.01182,   0.00966,11305580.52788,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-44122446.63742,   0.00000
11315384.61538,11761538.46154,1978846.15385,   0.01142,   0.01258,   0.01029,12042959.80717,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-43385067.35813,   0.00000
12016346.15385,12474038.46154,2098076.92308,   0.01214,   0.01333,   0.01091,12779187.24584,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-42648839.91947,   0.00000
12713461.53846,13190384.61538,2219230.76923,   0.01285,   0.01409,   0.01154,13516577.18240,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41911449.98290,   0.00000
13411538.46154,13896153.84615,2338461.53846,   0.01357,   0.01483,   0.01216,14248117.80365,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-41179909.36165,   0.00000
14105769.23077,14605769.23077,2459615.38462,   0.01428,   0.01558,   0.01279,14980812.18519,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-40447214.98012,   0.00000
14803846.15385,15311538.46154,2578846.15385,   0.01500,   0.01632,   0.01341,15712375.81330,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-39715651.35201,   0.00000
15495192.30769,16014423.07692,2698076.92308,   0.01571,   0.01706,   0.01403,16439434.99984,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-38988592.16547,   0.00000
16193269.23077,16720192.30769,2817307.69231,   0.01643,   0.01780,   0.01465,17171018.94056,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-38257008.22475,   0.00000
16881730.76923,17416346.15385,2934615.38462,   0.01714,   0.01853,   0.01526,17892450.43948,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-37535576.72582,   0.00000
17576923.07692,18115384.61538,3053846.15385,   0.01786,   0.01926,   0.01588,18619360.66883,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-36808666.49648,   0.00000
18269230.76923,18807692.30769,3171153.84615,   0.01858,   0.01998,   0.01649,19340647.92044,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-36087379.24487,   0.00000
18954807.69231,19497115.38462,3288461.53846,   0.01929,   0.02070,   0.01710,20057420.27712,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-35370606.88818,   0.00000
19647115.38462,20189423.07692,3405769.23077,   0.02001,   0.02142,   0.01771,20778734.67115,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-34649292.49416,   0.00000
20339423.07692,20881730.76923,3523076.92308,   0.02073,   0.02214,   0.01832,21500062.03118,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-33927965.13412,   0.00000
21028846.15385,21567307.69231,3638461.53846,   0.02145,   0.02285,   0.01892,22215776.90163,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-33212250.26367,   0.00000
21708653.84615,22243269.23077,3755769.23077,   0.02216,   0.02355,   0.01953,22923233.91870,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-32504793.24661,   0.00000
22398076.92308,22928846.15385,3871153.84615,   0.02288,   0.02426,   0.02013,23638977.81608,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-31789049.34922,   0.00000
23084615.38462,23607692.30769,3986538.46154,   0.02360,   0.02496,   0.02073,24350063.10515,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-31077964.06015,   0.00000
23768269.23077,24279807.69231,4101923.07692,   0.02432,   0.02565,   0.02133,25056496.09356,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-30371531.07174,   0.00000
24451923.07692,24951923.07692,4217307.69231,   0.02504,   0.02634,   0.02193,25762949.29182,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-29665077.87348,   0.00000
25135576.92308,25624038.46154,4330769.23077,   0.02576,   0.02703,   0.02252,26468476.92813,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-28959550.23718,   0.00000
25819230.76923,26296153.84615,4446153.84615,   0.02648,   0.02772,   0.02312,27174965.90963,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-28253061.25568,   0.00000
26500000.00000,26961538.46154,4559615.38462,   0.02720,   0.02840,   0.02371,27875868.85371,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-27552158.31160,   0.00000
27180769.23077,27626923.07692,4673076.92308,   0.02792,   0.02908,   0.02430,28576791.59303,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-26851235.57228,   0.00000
27858653.84615,28285576.92308,4786538.46154,   0.02864,   0.02975,   0.02489,29273079.97092,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-26154947.19439,   0.00000
28536538.46154,28944230.76923,4898076.92308,   0.02936,   0.03042,   0.02547,29968447.41118,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-25459579.75413,   0.00000
29221153.84615,29605769.23077,5011538.46154,   0.03009,   0.03109,   0.02606,30669353.10166,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-24758674.06364,   0.00000
29896153.84615,30257692.30769,5123076.92308,   0.03081,   0.03175,   0.02664,31360119.35243,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-24067907.81287,   0.00000
30571153.84615,30909615.38462,5236538.46154,   0.03153,   0.03241,   0.02723,32051851.25136,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-23376175.91395,   0.00000
31252884.61538,31564423.07692,5348076.92308,   0.03226,   0.03307,   0.02781,32747245.82179,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-22680781.34352,   0.00000
31925000.00000,32209615.38462,5459615.38462,   0.03298,   0.03372,   0.02839,33433443.99721,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-21994583.16809,   0.00000
32603846.15385,32857692.30769,5569230.76923,   0.03371,   0.03437,   0.02896,34123314.27225,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,-21304712.89305,   0.00000
